Datetime,SCATS Number,Flow
2006-10-04 09:45:00,970,787.0
2006-10-04 10:00:00,970,703.0
2006-10-04 10:15:00,970,633.0
2006-10-04 10:30:00,970,713.0
2006-10-04 10:45:00,970,740.0
2006-10-04 11:00:00,970,712.0
2006-10-04 11:15:00,970,662.0
2006-10-04 11:30:00,970,636.0
2006-10-04 11:45:00,970,608.0
2006-10-04 12:00:00,970,689.0
2006-10-04 12:15:00,970,700.0
2006-10-04 12:30:00,970,658.0
2006-10-04 12:45:00,970,675.0
2006-10-04 13:00:00,970,673.0
2006-10-04 13:15:00,970,663.0
2006-10-04 13:30:00,970,710.0
2006-10-04 13:45:00,970,689.0
2006-10-04 14:00:00,970,652.0
2006-10-04 14:15:00,970,650.0
2006-10-04 14:30:00,970,665.0
2006-10-04 14:45:00,970,689.0
2006-10-04 15:00:00,970,777.0
2006-10-04 15:15:00,970,772.0
2006-10-04 15:30:00,970,768.0
2006-10-04 15:45:00,970,818.0
2006-10-04 16:00:00,970,852.0
2006-10-04 16:15:00,970,909.0
2006-10-04 16:30:00,970,779.0
2006-10-04 16:45:00,970,911.0
2006-10-04 17:00:00,970,858.0
2006-10-04 17:15:00,970,917.0
2006-10-04 17:30:00,970,1031.0
2006-10-04 17:45:00,970,870.0
2006-10-04 18:00:00,970,897.0
2006-10-04 18:15:00,970,841.0
2006-10-04 18:30:00,970,732.0
2006-10-04 18:45:00,970,727.0
2006-10-04 19:00:00,970,605.0
2006-10-04 19:15:00,970,571.0
2006-10-04 19:30:00,970,493.0
2006-10-04 19:45:00,970,452.0
2006-10-04 20:00:00,970,360.0
2006-10-04 20:15:00,970,400.0
2006-10-04 20:30:00,970,362.0
2006-10-04 20:45:00,970,342.0
2006-10-04 21:00:00,970,326.0
2006-10-04 21:15:00,970,363.0
2006-10-04 21:30:00,970,308.0
2006-10-04 21:45:00,970,278.0
2006-10-04 22:00:00,970,311.0
2006-10-04 22:15:00,970,239.0
2006-10-04 22:30:00,970,230.0
2006-10-04 22:45:00,970,205.0
2006-10-04 23:00:00,970,204.0
2006-10-04 23:15:00,970,162.0
2006-10-04 23:30:00,970,125.0
2006-10-04 23:45:00,970,97.0
2006-10-05 00:00:00,970,112.0
2006-10-05 00:15:00,970,110.0
2006-10-05 00:30:00,970,67.0
2006-10-05 00:45:00,970,43.0
2006-10-05 01:00:00,970,43.0
2006-10-05 01:15:00,970,43.0
2006-10-05 01:30:00,970,46.0
2006-10-05 01:45:00,970,42.0
2006-10-05 02:00:00,970,24.0
2006-10-05 02:15:00,970,27.0
2006-10-05 02:30:00,970,22.0
2006-10-05 02:45:00,970,23.0
2006-10-05 03:00:00,970,15.0
2006-10-05 03:15:00,970,14.0
2006-10-05 03:30:00,970,27.0
2006-10-05 03:45:00,970,18.0
2006-10-05 04:00:00,970,41.0
2006-10-05 04:15:00,970,35.0
2006-10-05 04:30:00,970,45.0
2006-10-05 04:45:00,970,46.0
2006-10-05 05:00:00,970,65.0
2006-10-05 05:15:00,970,79.0
2006-10-05 05:30:00,970,124.0
2006-10-05 05:45:00,970,185.0
2006-10-05 06:00:00,970,259.0
2006-10-05 06:15:00,970,380.0
2006-10-05 06:30:00,970,570.0
2006-10-05 06:45:00,970,642.0
2006-10-05 07:00:00,970,734.0
2006-10-05 07:15:00,970,1007.0
2006-10-05 07:30:00,970,1164.0
2006-10-05 07:45:00,970,1174.0
2006-10-05 08:00:00,970,1233.0
2006-10-05 08:15:00,970,1310.0
2006-10-05 08:30:00,970,1229.0
2006-10-05 08:45:00,970,952.0
2006-10-05 09:00:00,970,1081.0
2006-10-05 09:15:00,970,1030.0
2006-10-05 09:30:00,970,927.0
2006-10-05 09:45:00,970,913.0
2006-10-05 10:00:00,970,830.0
2006-10-05 10:15:00,970,816.0
2006-10-05 10:30:00,970,834.0
2006-10-05 10:45:00,970,824.0
2006-10-05 11:00:00,970,833.0
2006-10-05 11:15:00,970,924.0
2006-10-05 11:30:00,970,854.0
2006-10-05 11:45:00,970,871.0
2006-10-05 12:00:00,970,876.0
2006-10-05 12:15:00,970,797.0
2006-10-05 12:30:00,970,873.0
2006-10-05 12:45:00,970,831.0
2006-10-05 13:00:00,970,873.0
2006-10-05 13:15:00,970,799.0
2006-10-05 13:30:00,970,872.0
2006-10-05 13:45:00,970,892.0
2006-10-05 14:00:00,970,894.0
2006-10-05 14:15:00,970,939.0
2006-10-05 14:30:00,970,865.0
2006-10-05 14:45:00,970,901.0
2006-10-05 15:00:00,970,1005.0
2006-10-05 15:15:00,970,1056.0
2006-10-05 15:30:00,970,1100.0
2006-10-05 15:45:00,970,1115.0
2006-10-05 16:00:00,970,1179.0
2006-10-05 16:15:00,970,1207.0
2006-10-05 16:30:00,970,1287.0
2006-10-05 16:45:00,970,1190.0
2006-10-05 17:00:00,970,1204.0
2006-10-05 17:15:00,970,1305.0
2006-10-05 17:30:00,970,1262.0
2006-10-05 17:45:00,970,1299.0
2006-10-05 18:00:00,970,1222.0
2006-10-05 18:15:00,970,1219.0
2006-10-05 18:30:00,970,1087.0
2006-10-05 18:45:00,970,938.0
2006-10-05 19:00:00,970,854.0
2006-10-05 19:15:00,970,833.0
2006-10-05 19:30:00,970,717.0
2006-10-05 19:45:00,970,658.0
2006-10-05 20:00:00,970,577.0
2006-10-05 20:15:00,970,507.0
2006-10-05 20:30:00,970,578.0
2006-10-05 20:45:00,970,565.0
2006-10-05 21:00:00,970,593.0
2006-10-05 21:15:00,970,562.0
2006-10-05 21:30:00,970,496.0
2006-10-05 21:45:00,970,412.0
2006-10-05 22:00:00,970,373.0
2006-10-05 22:15:00,970,350.0
2006-10-05 22:30:00,970,305.0
2006-10-05 22:45:00,970,303.0
2006-10-05 23:00:00,970,259.0
2006-10-05 23:15:00,970,205.0
2006-10-05 23:30:00,970,161.0
2006-10-05 23:45:00,970,145.0
2006-10-06 00:00:00,970,92.0
2006-10-06 00:15:00,970,102.0
2006-10-06 00:30:00,970,80.0
2006-10-06 00:45:00,970,49.0
2006-10-06 01:00:00,970,48.0
2006-10-06 01:15:00,970,43.0
2006-10-06 01:30:00,970,55.0
2006-10-06 01:45:00,970,42.0
2006-10-06 02:00:00,970,46.0
2006-10-06 02:15:00,970,28.0
2006-10-06 02:30:00,970,16.0
2006-10-06 02:45:00,970,29.0
2006-10-06 03:00:00,970,19.0
2006-10-06 03:15:00,970,30.0
2006-10-06 03:30:00,970,32.0
2006-10-06 03:45:00,970,30.0
2006-10-06 04:00:00,970,35.0
2006-10-06 04:15:00,970,32.0
2006-10-06 04:30:00,970,43.0
2006-10-06 04:45:00,970,49.0
2006-10-06 05:00:00,970,59.0
2006-10-06 05:15:00,970,85.0
2006-10-06 05:30:00,970,114.0
2006-10-06 05:45:00,970,197.0
2006-10-06 06:00:00,970,262.0
2006-10-06 06:15:00,970,406.0
2006-10-06 06:30:00,970,578.0
2006-10-06 06:45:00,970,682.0
2006-10-06 07:00:00,970,779.0
2006-10-06 07:15:00,970,972.0
2006-10-06 07:30:00,970,1196.0
2006-10-06 07:45:00,970,1206.0
2006-10-06 08:00:00,970,1228.0
2006-10-06 08:15:00,970,1242.0
2006-10-06 08:30:00,970,1189.0
2006-10-06 08:45:00,970,1224.0
2006-10-06 09:00:00,970,961.0
2006-10-06 09:15:00,970,972.0
2006-10-06 09:30:00,970,932.0
2006-10-06 09:45:00,970,884.0
2006-10-06 10:00:00,970,813.0
2006-10-06 10:15:00,970,794.0
2006-10-06 10:30:00,970,920.0
2006-10-06 10:45:00,970,812.0
2006-10-06 11:00:00,970,904.0
2006-10-06 11:15:00,970,842.0
2006-10-06 11:30:00,970,896.0
2006-10-06 11:45:00,970,949.0
2006-10-06 12:00:00,970,809.0
2006-10-06 12:15:00,970,831.0
2006-10-06 12:30:00,970,863.0
2006-10-06 12:45:00,970,793.0
2006-10-06 13:00:00,970,833.0
2006-10-06 13:15:00,970,938.0
2006-10-06 13:30:00,970,915.0
2006-10-06 13:45:00,970,917.0
2006-10-06 14:00:00,970,883.0
2006-10-06 14:15:00,970,945.0
2006-10-06 14:30:00,970,965.0
2006-10-06 14:45:00,970,968.0
2006-10-06 15:00:00,970,1063.0
2006-10-06 15:15:00,970,1095.0
2006-10-06 15:30:00,970,1145.0
2006-10-06 15:45:00,970,1169.0
2006-10-06 16:00:00,970,1159.0
2006-10-06 16:15:00,970,1244.0
2006-10-06 16:30:00,970,1170.0
2006-10-06 16:45:00,970,1238.0
2006-10-06 17:00:00,970,1243.0
2006-10-06 17:15:00,970,1283.0
2006-10-06 17:30:00,970,1293.0
2006-10-06 17:45:00,970,1297.0
2006-10-06 18:00:00,970,1250.0
2006-10-06 18:15:00,970,1243.0
2006-10-06 18:30:00,970,1132.0
2006-10-06 18:45:00,970,1012.0
2006-10-06 19:00:00,970,881.0
2006-10-06 19:15:00,970,889.0
2006-10-06 19:30:00,970,803.0
2006-10-06 19:45:00,970,694.0
2006-10-06 20:00:00,970,563.0
2006-10-06 20:15:00,970,511.0
2006-10-06 20:30:00,970,487.0
2006-10-06 20:45:00,970,505.0
2006-10-06 21:00:00,970,536.0
2006-10-06 21:15:00,970,588.0
2006-10-06 21:30:00,970,484.0
2006-10-06 21:45:00,970,388.0
2006-10-06 22:00:00,970,363.0
2006-10-06 22:15:00,970,392.0
2006-10-06 22:30:00,970,351.0
2006-10-06 22:45:00,970,329.0
2006-10-06 23:00:00,970,351.0
2006-10-06 23:15:00,970,312.0
2006-10-06 23:30:00,970,245.0
2006-10-06 23:45:00,970,260.0
2006-10-07 00:00:00,970,218.0
2006-10-07 00:15:00,970,188.0
2006-10-07 00:30:00,970,166.0
2006-10-07 00:45:00,970,146.0
2006-10-07 01:00:00,970,129.0
2006-10-07 01:15:00,970,117.0
2006-10-07 01:30:00,970,120.0
2006-10-07 01:45:00,970,88.0
2006-10-07 02:00:00,970,89.0
2006-10-07 02:15:00,970,68.0
2006-10-07 02:30:00,970,72.0
2006-10-07 02:45:00,970,71.0
2006-10-07 03:00:00,970,66.0
2006-10-07 03:15:00,970,75.0
2006-10-07 03:30:00,970,59.0
